date,close
2010-01-01,19.47
2010-01-04,19.88
2010-01-05,19.92
2010-01-06,20.04
2010-01-07,19.84
2010-01-08,20.7
2010-01-11,20.83
2010-01-12,21.73
2010-01-13,22.22
2010-01-14,22.21
2010-01-15,22.05
2010-01-18,21.79
2010-01-19,22.26
2010-01-20,21.8
2010-01-21,21.71
2010-01-22,21.14
2010-01-25,21.38
2010-01-26,21.91
2010-01-27,22.46
2010-01-28,23.28
2010-01-29,23.49
2010-02-01,22.85
2010-02-02,23.1
2010-02-03,23.25
2010-02-04,23.8
2010-02-05,23.7
2010-02-08,24.39
2010-02-09,24.43
2010-02-10,24.51
2010-02-11,24.84
2010-02-12,24.11
2010-02-15,24.28
2010-02-16,25.05
2010-02-17,25.31
2010-02-18,26.83
2010-02-19,26.5
2010-02-22,27.11
2010-02-23,26.95
2010-02-24,27.4
2010-02-25,26.88
2010-02-26,27.21
2010-03-01,27.76
2010-03-02,28.99
2010-03-03,29.49
2010-03-04,29.4
2010-03-05,29.18
2010-03-08,30.18
2010-03-09,30.65
2010-03-10,30.61
2010-03-11,29.97
2010-03-12,30.59
2010-03-15,30.99
2010-03-16,30.8
2010-03-17,31.11
2010-03-18,30.67
2010-03-19,31.35
2010-03-22,31.0
2010-03-23,30.8
2010-03-24,30.17
2010-03-25,29.8
2010-03-26,29.5
2010-03-29,30.01
2010-03-30,29.92
2010-03-31,29.4
2010-04-01,29.49
2010-04-02,30.22
2010-04-05,31.43
2010-04-06,30.92
2010-04-07,30.98
2010-04-08,31.16
2010-04-09,30.21
2010-04-12,31.08
2010-04-13,31.35
2010-04-14,31.22
2010-04-15,31.1
2010-04-16,31.28
2010-04-19,29.5
2010-04-20,29.71
2010-04-21,30.46
2010-04-22,30.23
2010-04-23,30.48
2010-04-26,30.34
2010-04-27,30.56
2010-04-28,29.91
2010-04-29,30.35
2010-04-30,31.88
2010-05-03,31.34
2010-05-04,31.01
2010-05-05,31.29
2010-05-06,31.1
2010-05-07,31.81
2010-05-10,32.07
2010-05-11,31.57
2010-05-12,32.13
2010-05-13,34.09
2010-05-14,34.97
2010-05-17,34.82
2010-05-18,34.91
2010-05-19,35.0
2010-05-20,35.52
2010-05-21,36.22
2010-05-24,36.03
2010-05-25,36.66
2010-05-26,36.05
2010-05-27,36.1
2010-05-28,36.88
2010-05-31,36.2
2010-06-01,35.48
2010-06-02,35.35
2010-06-03,35.4
2010-06-04,35.45
2010-06-07,34.47
2010-06-08,34.89
2010-06-09,36.0
2010-06-10,35.69
2010-06-11,36.62
2010-06-14,36.92
2010-06-15,36.4
2010-06-16,36.02
2010-06-17,37.74
2010-06-18,38.07
2010-06-21,38.15
2010-06-22,37.85
2010-06-23,37.95
2010-06-24,38.93
2010-06-25,39.41
2010-06-28,40.54
2010-06-29,39.67
2010-06-30,38.2
2010-07-01,39.16
2010-07-02,39.16
2010-07-05,39.8
2010-07-06,38.74
2010-07-07,38.93
2010-07-08,37.49
2010-07-09,37.13
2010-07-12,37.19
2010-07-13,36.46
2010-07-14,35.73
2010-07-15,34.72
2010-07-16,35.16
2010-07-19,35.93
2010-07-20,36.1
2010-07-21,36.02
2010-07-22,35.9
2010-07-23,36.54
2010-07-26,35.82
2010-07-27,36.78
2010-07-28,37.07
2010-07-29,37.68
2010-07-30,37.72
2010-08-02,38.31
2010-08-03,40.01
2010-08-04,38.48
2010-08-05,38.04
2010-08-06,37.25
2010-08-09,36.74
2010-08-10,36.17
2010-08-11,36.5
2010-08-12,35.19
2010-08-13,35.75
2010-08-16,36.0
2010-08-17,36.4
2010-08-18,36.73
2010-08-19,37.1
2010-08-20,37.61
2010-08-23,37.83
2010-08-24,38.71
2010-08-25,37.45
2010-08-26,36.84
2010-08-27,36.21
2010-08-30,35.73
2010-08-31,35.85
2010-09-01,37.05
2010-09-02,36.33
2010-09-03,37.44
2010-09-06,36.62
2010-09-07,35.62
2010-09-08,36.53
2010-09-09,36.46
2010-09-10,36.05
2010-09-13,36.73
2010-09-14,35.94
2010-09-15,36.23
2010-09-16,36.83
2010-09-17,37.1
2010-09-20,35.93
2010-09-21,35.3
2010-09-22,35.29
2010-09-23,34.38
2010-09-24,34.62
2010-09-27,34.34
2010-09-28,34.82
2010-09-29,34.73
2010-09-30,34.29
2010-10-01,34.71
2010-10-04,33.73
2010-10-05,33.05
2010-10-06,32.6
2010-10-07,31.88
2010-10-08,32.87
2010-10-11,32.22
2010-10-12,32.5
2010-10-13,32.98
2010-10-14,33.21
2010-10-15,33.49
2010-10-18,34.48
2010-10-19,34.95
2010-10-20,36.05
2010-10-21,36.58
2010-10-22,37.33
2010-10-25,37.47
2010-10-26,38.52
2010-10-27,38.51
2010-10-28,39.02
2010-10-29,39.44
2010-11-01,39.73
2010-11-02,39.57
2010-11-03,40.12
2010-11-04,40.54
2010-11-05,40.73
2010-11-08,39.42
2010-11-09,39.14
2010-11-10,40.3
2010-11-11,42.28
2010-11-12,43.68
2010-11-15,43.68
2010-11-16,43.53
2010-11-17,44.56
2010-11-18,45.68
2010-11-19,45.48
2010-11-22,43.82
2010-11-23,44.34
2010-11-24,45.63
2010-11-25,45.08
2010-11-26,44.42
2010-11-29,45.37
2010-11-30,46.14
2010-12-01,46.72
2010-12-02,47.96
2010-12-03,48.29
2010-12-06,47.27
2010-12-07,47.08
2010-12-08,47.97
2010-12-09,45.82
2010-12-10,45.41
2010-12-13,46.51
2010-12-14,46.43
2010-12-15,46.38
2010-12-16,46.93
2010-12-17,47.13
2010-12-20,48.0
2010-12-21,49.37
2010-12-22,52.26
2010-12-23,52.17
2010-12-24,51.09
2010-12-27,51.55
2010-12-28,52.29
2010-12-29,52.55
2010-12-30,53.26
2010-12-31,51.51
2011-01-03,51.63
2011-01-04,52.69
2011-01-05,54.78
2011-01-06,53.98
2011-01-07,53.36
2011-01-10,53.19
2011-01-11,54.25
2011-01-12,56.95
2011-01-13,57.69
2011-01-14,55.49
2011-01-17,58.74
2011-01-18,56.84
2011-01-19,56.9
2011-01-20,57.23
2011-01-21,58.13
2011-01-24,56.05
2011-01-25,57.05
2011-01-26,56.14
2011-01-27,55.81
2011-01-28,56.74
2011-01-31,56.98
2011-02-01,55.77
2011-02-02,57.31
2011-02-03,55.8
2011-02-04,55.67
2011-02-07,55.09
2011-02-08,53.8
2011-02-09,54.78
2011-02-10,54.98
2011-02-11,54.55
2011-02-14,53.76
2011-02-15,53.96
2011-02-16,54.88
2011-02-17,55.37
2011-02-18,54.36
2011-02-21,53.89
2011-02-22,53.93
2011-02-23,53.82
2011-02-24,54.2
2011-02-25,54.08
2011-02-28,54.69
2011-03-01,54.31
2011-03-02,56.26
2011-03-03,55.5
2011-03-04,55.65
2011-03-07,56.31
2011-03-08,55.94
2011-03-09,54.4
2011-03-10,54.65
2011-03-11,55.03
2011-03-14,55.56
2011-03-15,55.8
2011-03-16,56.09
2011-03-17,55.45
2011-03-18,53.98
2011-03-21,54.73
2011-03-22,54.57
2011-03-23,55.41
2011-03-24,52.98
2011-03-25,53.68
2011-03-28,54.7
2011-03-29,54.94
2011-03-30,54.99
2011-03-31,54.69
2011-04-01,55.16
2011-04-04,54.97
2011-04-05,54.89
2011-04-06,56.06
2011-04-07,56.38
2011-04-08,58.0
2011-04-11,59.86
2011-04-12,62.72
2011-04-13,62.27
2011-04-14,64.29
2011-04-15,66.0
2011-04-18,66.9
2011-04-19,65.98
2011-04-20,66.29
2011-04-21,69.0
2011-04-22,67.26
2011-04-25,67.11
2011-04-26,67.36
2011-04-27,67.11
2011-04-28,68.61
2011-04-29,67.56
2011-05-02,67.76
2011-05-03,68.34
2011-05-04,69.18
2011-05-05,68.12
2011-05-06,68.81
2011-05-09,69.88
2011-05-10,70.86
2011-05-11,71.28
2011-05-12,70.75
2011-05-13,70.21
2011-05-16,71.46
2011-05-17,68.44
2011-05-18,70.19
2011-05-19,67.9
2011-05-20,67.97
2011-05-23,67.34
2011-05-24,67.59
2011-05-25,67.5
2011-05-26,67.16
2011-05-27,69.05
2011-05-30,66.04
2011-05-31,67.2
2011-06-01,70.27
2011-06-02,71.69
2011-06-03,72.51
2011-06-06,73.38
2011-06-07,70.64
2011-06-08,71.79
2011-06-09,72.13
2011-06-10,70.31
2011-06-13,69.81
2011-06-14,69.1
2011-06-15,68.86
2011-06-16,69.58
2011-06-17,68.98
2011-06-20,70.99
2011-06-21,69.08
2011-06-22,70.92
2011-06-23,70.94
2011-06-24,71.68
2011-06-27,72.34
2011-06-28,72.53
2011-06-29,72.08
2011-06-30,72.82
2011-07-01,72.88
2011-07-04,74.45
2011-07-05,76.3
2011-07-06,76.92
2011-07-07,75.72
2011-07-08,77.84
2011-07-11,75.88
2011-07-12,75.35
2011-07-13,72.66
2011-07-14,73.39
2011-07-15,72.36
2011-07-18,72.91
2011-07-19,73.26
2011-07-20,72.94
2011-07-21,72.84
2011-07-22,70.43
2011-07-25,72.09
2011-07-26,73.85
2011-07-27,75.48
2011-07-28,69.95
2011-07-29,71.68
2011-08-01,70.05
2011-08-02,72.25
2011-08-03,72.31
2011-08-04,71.75
2011-08-05,70.97
2011-08-08,72.33
2011-08-09,72.64
2011-08-10,72.86
2011-08-11,75.19
2011-08-12,74.9
2011-08-15,77.53
2011-08-16,75.9
2011-08-17,78.21
2011-08-18,79.18
2011-08-19,77.53
2011-08-22,78.2
2011-08-23,76.71
2011-08-24,77.56
2011-08-25,78.59
2011-08-26,79.7
2011-08-29,81.2
2011-08-30,81.02
2011-08-31,81.37
2011-09-01,83.55
2011-09-02,86.4
2011-09-05,87.6
2011-09-06,84.58
2011-09-07,85.72
2011-09-08,83.96
2011-09-09,82.8
2011-09-12,85.87
2011-09-13,88.84
2011-09-14,87.97
2011-09-15,87.82
2011-09-16,88.92
2011-09-19,89.04
2011-09-20,86.88
2011-09-21,85.79
2011-09-22,81.89
2011-09-23,83.43
2011-09-26,86.99
2011-09-27,87.79
2011-09-28,87.35
2011-09-29,85.98
2011-09-30,86.04
2011-10-03,85.65
2011-10-04,87.83
2011-10-05,87.47
2011-10-06,85.36
2011-10-07,84.39
2011-10-10,84.92
2011-10-11,83.79
2011-10-12,85.25
2011-10-13,84.56
2011-10-14,83.44
2011-10-17,83.24
2011-10-18,82.89
2011-10-19,82.04
2011-10-20,83.13
2011-10-21,84.0
2011-10-24,84.35
2011-10-25,85.08
2011-10-26,85.81
2011-10-27,83.55
2011-10-28,83.25
2011-10-31,81.24
2011-11-01,80.74
2011-11-02,80.05
2011-11-03,83.29
2011-11-04,82.54
2011-11-07,80.18
2011-11-08,81.98
2011-11-09,80.2
2011-11-10,80.21
2011-11-11,82.9
2011-11-14,81.65
2011-11-15,81.72
2011-11-16,82.57
2011-11-17,83.3
2011-11-18,83.34
2011-11-21,85.73
2011-11-22,87.67
2011-11-23,88.99
2011-11-24,89.32
2011-11-25,89.02
2011-11-28,90.95
2011-11-29,91.94
2011-11-30,91.99
2011-12-01,90.15
2011-12-02,89.7
2011-12-05,88.44
2011-12-06,86.21
2011-12-07,86.07
2011-12-08,87.61
2011-12-09,87.78
2011-12-12,89.39
2011-12-13,89.86
2011-12-14,89.41
2011-12-15,88.97
2011-12-16,86.17
2011-12-19,83.51
2011-12-20,85.3
2011-12-21,87.94
2011-12-22,84.39
2011-12-23,85.16
2011-12-26,83.76
2011-12-27,82.18
2011-12-28,80.04
2011-12-29,78.75
2011-12-30,77.19
2012-01-02,79.08
2012-01-03,80.65
2012-01-04,80.26
2012-01-05,80.65
2012-01-06,77.27
2012-01-09,77.33
2012-01-10,75.26
2012-01-11,74.0
2012-01-12,74.5
2012-01-13,73.36
2012-01-16,73.31
2012-01-17,73.3
2012-01-18,76.07
2012-01-19,74.53
2012-01-20,72.83
2012-01-23,72.45
2012-01-24,70.46
2012-01-25,71.69
2012-01-26,70.85
2012-01-27,69.16
2012-01-30,71.78
2012-01-31,71.86
2012-02-01,72.66
2012-02-02,70.0
2012-02-03,69.37
2012-02-06,68.62
2012-02-07,70.1
2012-02-08,70.98
2012-02-09,70.81
2012-02-10,71.17
2012-02-13,70.97
2012-02-14,72.57
2012-02-15,73.25
2012-02-16,75.55
2012-02-17,78.43
2012-02-20,77.46
2012-02-21,74.71
2012-02-22,75.37
2012-02-23,76.41
2012-02-24,76.1
2012-02-27,77.21
2012-02-28,75.08
2012-02-29,72.71
2012-03-01,72.58
2012-03-02,71.08
2012-03-05,71.97
2012-03-06,71.36
2012-03-07,71.83
2012-03-08,71.79
2012-03-09,71.62
2012-03-12,72.19
2012-03-13,71.6
2012-03-14,70.28
2012-03-15,69.41
2012-03-16,70.01
2012-03-19,67.81
2012-03-20,68.68
2012-03-21,69.02
2012-03-22,68.13
2012-03-23,68.78
2012-03-26,68.39
2012-03-27,69.64
2012-03-28,69.28
2012-03-29,69.39
2012-03-30,68.65
2012-04-02,69.4
2012-04-03,68.21
2012-04-04,65.63
2012-04-05,66.83
2012-04-06,65.32
2012-04-09,64.83
2012-04-10,67.59
2012-04-11,69.44
2012-04-12,69.19
2012-04-13,67.88
2012-04-16,67.24
2012-04-17,65.93
2012-04-18,66.22
2012-04-19,64.77
2012-04-20,66.69
2012-04-23,65.14
2012-04-24,64.56
2012-04-25,63.31
2012-04-26,61.54
2012-04-27,60.79
2012-04-30,60.04
2012-05-01,58.87
2012-05-02,59.12
2012-05-03,57.67
2012-05-04,56.27
2012-05-07,57.88
2012-05-08,58.8
2012-05-09,57.9
2012-05-10,56.9
2012-05-11,58.01
2012-05-14,55.78
2012-05-15,57.34
2012-05-16,59.48
2012-05-17,60.47
2012-05-18,61.89
2012-05-21,61.54
2012-05-22,61.49
2012-05-23,63.49
2012-05-24,63.71
2012-05-25,63.65
